"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Mittwoch 25. April 2018 ","",""Wer als Muslim gegen Juden ist, missbraucht die Religion"; Imam Kamal Abdallah erklärt, warum Antisemitismus für ihn unvereinbar mit dem Islam ist","","Die Welt","","",
"","Mittwoch 25. April 2018 ","","Merkel-Beraterin wird noch mächtiger; Eva Christiansen, enge Vertraute der Kanzlerin, bekommt eine Abteilung für Digitales","","Die Welt","","",
"","Mittwoch 25. April 2018 ","","Tag 42","","Die Welt","","",
"","Mittwoch 25. April 2018 ","",""Wir alle sind einmal der andere gewesen"; US-Ahnenforscherin Jennifer Mendelsohn entlarvt fremdenfeindliche Politiker. Denn der Stammbaum verrät, was sie vergessen wollen","","Die Welt","","",
"","Dienstag 24. April 2018 ","","Ende der Mäßigung","","Die Welt","","",
"","Dienstag 24. April 2018 ","","Leserbriefe","","Die Welt","","",
"","Dienstag 24. April 2018 ","","Tag 41","","Die Welt","","",
"","Dienstag 24. April 2018 ","",""Nahles ist das letzte Aufgebot"; Parteienforscher Oskar Niedermayer sieht auf die neue SPD-Vorsitzende eine "Herkulesaufgabe" zukommen - die Partei zu einen und zu erneuern. Dafür müsse sie aber an ihrem Auftritt arbeiten, denn die Deutschen wollten weder "Bätschi" noch "In die Fresse"","","Die Welt","","",
"","Dienstag 24. April 2018 ","","Mit vornehmer Bestimmtheit in aufgeregten Zeiten; UN-Flüchtlingskommissar Grandi macht in Berlin deutlich: Die Europäer müssen mehr für Afrika tun - und dürfen den Kontinent nicht den Chinesen überlassen","","Die Welt","","",
"","Dienstag 24. April 2018 ","","Wer gegen das neue Asylgesetz ist, fliegt aus der Partei; Frankreichs Präsident will zugleich Härte und Humanität zeigen. Aber Front National und Konservativen ist das Gesetz zu schwach, Linke nennen es gefährlich","","Die Welt","","",
"","Montag 23. April 2018 ","","Kriminalität und Statistik","","Die Welt","","",
"","Montag 23. April 2018 ","",""Allein in Libyen warten Hunderttausende"; Entwicklungsminister Gerd Müller (CSU) fordert zur Bekämpfung von Fluchtursachen eine Milliarde Euro zusätzlich für sein Ressort","","Die Welt","","",
